face_id,event_id,type,dHash
Event_LopTai__aeb2eafc9aa72fc8743faf084ef3402a__face01,Event_LopTai,exact_duplicate,0011011101110011111000011001010110010100100001001000010011101001
Event_LopTai__aeb2eafc9aa72fc8743faf084ef3402a__face03,Event_LopTai,near_duplicate,0011011001110011011010011111010111110100110011001100110111100001
Event_LopTai__aeb2eafc9aa72fc8743faf084ef3402a__face04,Event_LopTai,near_duplicate,0000111101101001011000000101011011110000110011000000010000101000
Event_LopTai__bc9a798069f615fddd48e9da26786101__face01,Event_LopTai,near_duplicate,0011001101110011111000011001010110010100100001001000010011101001
Event_LopTai__bc9a798069f615fddd48e9da26786101__face04,Event_LopTai,near_duplicate,0011001001110001011010011111010111110000110011001100110011100001
Event_LopTai__bcfa7142cd96a429ea732c361d3f4357__face01,Event_LopTai,near_duplicate,0011011101110011111000011001010110010000100001001000010011101001
Event_LopTai__bcfa7142cd96a429ea732c361d3f4357__face03,Event_LopTai,near_duplicate,0001111101101001011100000101011011110000110011001000010000100000
Event_LopTai__bcfa7142cd96a429ea732c361d3f4357__face04,Event_LopTai,near_duplicate,0011001001100001011010011111010011110000110001001100110011100001
Event_LopTai__f0c2abd8b79e19eae799606617ce52b3__face02,Event_LopTai,near_duplicate,0111001111100001110000011001010110010100100101001000010011100000
Event_LopTai__e81024619370bd767144cafecdbda8eb__face02,Event_LopTai,near_duplicate,0111001111100011110000011001010010010100100101001000110011100000
Event_LopTai__fac9efb7de0afdd16ef901846411add5__face02,Event_LopTai,near_duplicate,0111011111100011111100111011001110010111100001101000111111000101
Event_LopTai__fac9efb7de0afdd16ef901846411add5__face05,Event_LopTai,near_duplicate,0111001111100001110000011011011110110100110011011000011111000111
Event_LopTai__fac9efb7de0afdd16ef901846411add5__face06,Event_LopTai,near_duplicate,0111001111100001111100010001001100110011000010111000011001100100
Event_LopTai__fac9efb7de0afdd16ef901846411add5__face08,Event_LopTai,near_duplicate,0001011100010011111100011001010110010100100001001000010011000011
Event_LopTai__b560b983763efdd4e07b5f98a868cbb3__face01,Event_LopTai,near_duplicate,0111001111100001111100010001001100110011100010101000011001100100
Event_LopTai__b560b983763efdd4e07b5f98a868cbb3__face03,Event_LopTai,near_duplicate,0010111101100001111100011011001011100000010010000100111100100011
Event_LopTai__b560b983763efdd4e07b5f98a868cbb3__face08,Event_LopTai,near_duplicate,0010001100000000001000101001001010000000110011000100110001100001
Event_LopTai__9feda5ab6b135b0d8ebb943c7b18e6b4__face01,Event_LopTai,near_duplicate,0001111100010011111100011001011010110100000001010000010110001001
Event_LopTai__9feda5ab6b135b0d8ebb943c7b18e6b4__face06,Event_LopTai,near_duplicate,0001111111010101101101010011011010010100110001011100110111101000
Event_LopTai__3a77e2307e60200a5918a914b129f8b7__face02,Event_LopTai,near_duplicate,0010111111100011111000011011000010100001110010010100111100100011
Event_LopTai__3a77e2307e60200a5918a914b129f8b7__face04,Event_LopTai,near_duplicate,0111000111100001111100010001001100110011100001111000011110100010
Event_LopTai__3a77e2307e60200a5918a914b129f8b7__face09,Event_LopTai,near_duplicate,0001011100000100000000101001011010000000110010011100100101100011
Event_LopTai__a4145ea66568983f75942ef580dff9b5__face02,Event_LopTai,near_duplicate,0011111111100011111000011011010110100101110010010100111100100011
Event_LopTai__d41c5182c518e5a4afd8a108aaa51287__face01,Event_LopTai,near_duplicate,0011000101110000010100000001001011100000110010001100011011100010
Event_LopTai__d41c5182c518e5a4afd8a108aaa51287__face02,Event_LopTai,near_duplicate,1001100100110000011100000101000001001000010011000100110001100000
Event_LopTai__029dea08017c27910e6d97676e706980__face01,Event_LopTai,near_duplicate,0001001000110011001100010111000111110001110101001100010001100001
Event_LopTai__029dea08017c27910e6d97676e706980__face02,Event_LopTai,near_duplicate,0010001101100001011000000101001011010110110001001100011101101011
Event_LopTai__8df0d2509e45422a86e88810ece81bc3__face01,Event_LopTai,near_duplicate,0100011111000011100100011001011110010111000001110000011000001110
Event_LopTai__4981dad814fb04d80793d2c6945f4a53__face01,Event_LopTai,near_duplicate,0100011111000011100100011001011110010111000001110000011101000110
Event_LopTai__4981dad814fb04d80793d2c6945f4a53__face02,Event_LopTai,near_duplicate,0001000100011000011110000001001000010110001011010000110110000011
Event_LopTai__53d4667f2e4044b8a64789ed2510e85f__face04,Event_LopTai,near_duplicate,0111001101100011111000011111000111010000110011001100010011100001
Event_LopTai__7a740522c8abdd582709f6e7c58bed99__face01,Event_LopTai,near_duplicate,0110001111000001100000011001010110010100000001001000010010100001
Event_LopTai__ac91343fc0dfc081ebb357ae0d8f8fc4__face01,Event_LopTai,near_duplicate,0100001111000001110000011001010110010100100011001000010110100001
Event_LopTai__aa114bae0dfab60308bb017fa7f033e1__face02,Event_LopTai,near_duplicate,0111001101110001111100011101000011010000110000001100100101100001
Event_LopTai__c9ea7f758be9667e4071ee344d8338b6__face01,Event_LopTai,near_duplicate,1100001110000001101100010011010110110100000011001000010100101001
Event_LopTai__c9ea7f758be9667e4071ee344d8338b6__face02,Event_LopTai,near_duplicate,0011001101110011011000011101000111010000110001001101010011100001
Event_LopTai__c9ea7f758be9667e4071ee344d8338b6__face03,Event_LopTai,near_duplicate,0111001101110001011100011101000011010000110000001100100101100001
Event_LopTai__bd6234438d1964ef9ae92a6ce7824c83__face01,Event_LopTai,near_duplicate,0011001101110001011100011101000011010100110001001100110001100001
Event_LopTai__bd6234438d1964ef9ae92a6ce7824c83__face03,Event_LopTai,near_duplicate,0011001101110011011000011101000111010000110011001100010011100001
Event_LopTai__7ff6981f8c8e487f83b570892150292c__face04,Event_LopTai,near_duplicate,0001001100111001011110000011001000010110000001010000110100000001
Event_LopTai__bd1d9fdbbbdee4f9ea0e38c0a6c66d1c__face01,Event_LopTai,near_duplicate,0001100101100101011000100101001001010010111011001100110110101001
Event_LopTai__bd1d9fdbbbdee4f9ea0e38c0a6c66d1c__face03,Event_LopTai,near_duplicate,0001111101110011010000011001001110010111010001010000011100100011
Event_LopTai__bfe1cc42b42f1ca8bdfc97123ace7d4e__face01,Event_LopTai,near_duplicate,0001100101100101011000100101001011010010111011001100110110101001
Event_LopTai__bfe1cc42b42f1ca8bdfc97123ace7d4e__face02,Event_LopTai,near_duplicate,0011000101110000011000001101000011010100110001001101010001100000
Event_LopTai__bfe1cc42b42f1ca8bdfc97123ace7d4e__face03,Event_LopTai,near_duplicate,0001111101110011011000011001001110010111110011010000011100100011
Event_LopTai__d942c370ef0a2bc1b844ad8513768414__face01,Event_LopTai,near_duplicate,0001000101110001011000001101000011010100110001001100010001100001
Event_LopTai__d3c2a3a6c7953884b6823440b9efc493__face01,Event_LopTai,near_duplicate,0001000101110000011000001101000011010100110001001100010001100001
Event_LopTai__d3c2a3a6c7953884b6823440b9efc493__face03,Event_LopTai,near_duplicate,0001100101100011011000000101001001010010110011001100110010100010
Event_LopTai__1f5100b6530a48c1bedfc879b9bc69cf__face01,Event_LopTai,near_duplicate,0011001101100001011000011101000111010100100001001100010101100001
Event_LopTai__1f5100b6530a48c1bedfc879b9bc69cf__face02,Event_LopTai,near_duplicate,0010101101100011010100000101001001010010010011000100110001101000
